alive,height_cm,diameter_mm,case_control,case,canopy_width,canopy_length,canopy_area,bird_species,ant_species
A,181.5,45.2,1,49,1.74,1.23,1.73,STAR,BBR
A,156,49.53,0,49,1.9,2.22,3.33,STAR,AB
A,178,52.6,0,49,1.52,1.71,2.05,STAR,RRB
A,180,50.53,0,49,1.39,1.83,2.03,STAR,AB
A,211.5,67.23,0,49,1.77,2.23,3.14,STAR,RRB
A,181.5,57.91,1,50,1.72,1.69,2.28,GHS,RRB
A,183,44.86,0,50,1.26,1.24,1.23,GHS,RRB
D,125,33.13,0,50,1.44,1.53,1.73,GHS,NONE
A,168,51.82,0,50,1.28,1.27,1.28,GHS,RRB
A,166.5,61.7,0,50,1.93,2.23,3.4,GHS,RRB
A,201,66.28,1,51,2.49,1.96,3.89,GHS,RRB
A,165.5,52.94,0,51,1.66,1.45,1.9,GHS,RRB
A,122,42.77,0,51,1.04,1.16,0.95,GHS,RRB
A,159,44.7,0,51,1.12,0.87,0.78,GHS,RRB
A,185,45.41,0,51,1.93,1.53,2.35,GHS,RRB
A,165.5,56.62,1,52,1.83,2.03,2.92,STAR,BBR
A,184,58.85,0,52,2.2,2.72,4.75,STAR,NONE
A,132.5,48.22,0,52,1.35,1.42,1.51,STAR,BBR
D,124.5,27.97,0,52,0.65,0.82,0.42,STAR,NONE
A,121,31.58,0,52,0.64,0.68,0.34,STAR,RRB
A,249,59.5,1,53,1.1,1.29,1.12,GCSW,RRB
A,96.5,20.55,0,53,1.15,1.36,1.24,GCSW,BBR
A,150,43.19,0,53,1.79,1.41,2.01,GCSW,RRB
A,180,41.22,0,53,1.16,0.98,0.9,GCSW,RRB
A,175,48.98,0,53,1.18,1.53,1.44,GCSW,RRB
A,231.5,52.33,1,54,0.88,1.32,0.95,GCSW,RRB
A,103,33.65,0,54,0.75,0.5,0.31,GCSW,RRB
A,146.5,32.14,0,54,1.23,0.87,0.87,GCSW,RRB
A,142,49.78,0,54,1.77,1.56,2.18,GCSW,RRB
A,158,50.06,0,54,2.2,1.89,3.28,GCSW,BBR
A,216,70.3,1,55,1.92,1.46,2.24,STAR,RRB
A,109,58.65,0,55,2.17,1.31,2.38,STAR,RRB
A,152,59.12,0,55,1.15,0.88,0.81,STAR,RRB
A,189,81.26,0,55,0.6,1.05,0.53,STAR,RRB
A,210.5,93.75,0,55,3.11,3.43,8.39,STAR,RRB
A,191,69.79,1,56,2.79,1.93,4.37,STAR,RRB
A,155.5,49.85,0,56,2,1.37,2.23,STAR,NONE
A,175,52.04,0,56,1.56,1.18,1.47,STAR,AB
D,121,44.33,0,56,0.73,1.26,0.78,STAR,NONE
A,170.5,40.27,0,56,2.36,2.04,3.8,STAR,RRB
A,212.5,52.52,1,57,2.53,3.22,6.49,STAR,RRB
D,194,41.9,0,57,1.12,0.4,0.45,STAR,NONE
A,137.5,51.27,0,57,1.1,1.12,0.97,STAR,TP
A,151.5,45.99,0,57,0.73,0.74,0.42,STAR,BBR
A,173.5,55.48,0,57,0.94,0.88,0.65,STAR,RRB
A,157.5,31.32,1,58,1.1,1.07,0.92,GHS,BBR
A,65,20.18,0,58,0.96,0.56,0.45,GHS,BBR
A,143,40.07,0,58,1.35,1.27,1.35,GHS,BBR
A,167,60.24,0,58,1.21,0.81,0.8,GHS,RRB
A,114.5,33.76,0,58,0.61,0.73,0.35,GHS,RRB
A,180.5,65.07,1,59,1.34,1.12,1.19,GHS,RRB
A,135,46.39,0,59,0.77,0.68,0.41,GHS,TP
A,55,24.96,0,59,0.54,0.34,0.15,GHS,TP
A,121.5,36.7,0,59,0.8,0.67,0.42,GHS,RRB
A,133.5,36.81,0,59,0.91,1.05,0.75,GHS,RRB
A,237.5,63.82,1,60,1.96,1.81,2.79,STAR,RRB
A,54,17.39,0,60,0.25,0.3,0.06,STAR,BBR
A,105,38.62,0,60,1.13,1.03,0.92,STAR,BBR
A,128,25.04,0,60,1.56,1.77,2.18,STAR,BBR
A,132,39.96,0,60,1.32,1.62,1.7,STAR,RRB
